EXEMPLAR - COD.;titulo;autor;volume;EDIÇÃO;ANO;editora;COLEÇÃO;SÉRIE;ISBN;Nº EXEMPLAR;ASSUNTO;CLASSIFICAÇÃO;IDIOMA;OBSERVAÇÃO DO EXEMPLAR;;;;;;;;;;;;;;;;;;
E-100000;Sal da terra em terras do Brasis: como vemos e somos vistos na cultura brasileira;Wadislau Gomes;;3.ed;2014;"Monergismo; Refúgio";;;9,78856E+12;1;"evangelização; missão da igreja; discipulado";MEI-G633;;;;;;;;;;;;;;;;;;;;
E-100001;Sal da terra em terras do Brasis: como vemos e somos vistos na cultura brasileira;Wadislau Gomes;;3.ed;2014;"Monergismo; Refúgio";;;9,78856E+12;2;"evangelização; missão da igreja; discipulado";MEI-G633;;;;;;;;;;;;;;;;;;;;
E-100002;Permanências e mudanças;Wadislau e Elizabeth Gomes;;;2020;Monergismo;;;9,78659E+12;1;"Vida cristã; Filipenses";VCE-G633;;;;;;;;;;;;;;;;;;;;
E-100003;O que ele deve ser se quiser casar com minha filha;Voddie Baucham;;;2012;Monergismo;;;9,78856E+12;1;"Casamento; família; paternidade";VCF-B337;;;;;;;;;;;;;;;;;;;;
E-100004;O que ele deve ser se quiser casar com minha filha;Voddie Baucham;;;2012;Monergismo;;;9,78856E+12;2;"Casamento; família; paternidade";VCF-B337;;;;;;;;;;;;;;;;;;;;
E-100005;O significado do casamento;Timothy Keller e Kathy Keller;;;2012;Vida nova;;;9,78853E+12;1;"família; casamento; vida cristã";VCF-K29;;;;;;;;;;;;;;;;;;;;
E-100006;O significado do casamento;Timothy Keller e Kathy Keller;;;2012;Vida nova;;;9,78853E+12;2;"família; casamento; vida cristã";VCF-K29;;;;;;;;;;;;;;;;;;;;
E-100007;Quando pecadores dizem sim;Dave Harvey;;1.ed. 2009;2011 (reimpr.);Fiel;;;9,7886E+12;1;"família; casamento; vida cristã";VCF-H341;;;;;;;;;;;;;;;;;;;;
E-100008;Instruindo o coração da criança;"Tedd Tripp; Marcy Tripp";;;2009;Fiel;;;9,7886E+12;1;"criação de filhos; vida familiar; vida cristã";VCF-T836;;;;;;;;;;;;;;;;;;;;
E-100009;Mulheres doadoras de vida: descobrindo segredos de uma vida marcante;"Tammy Maltby; Tamra Farah";;1.ed. 2006;2013 (reimpr.);Shedd Publicações;;;8588315475;1;"mulher; encorajamento; vida cristã";VCF-M261;;;;;;;;;;;;;;;;;;;;
E-100010;Relacionamentos: uma confusão que vale a pena;Timothy Lane e Paul Tripp;;;2011;Cultura Cristã;;;9,78858E+12;1;;VCF-L265;;;;;;;;;;;;;;;;;;;;
E-100011;Relacionamentos: uma confusão que vale a pena;Timothy Lane e Paul Tripp;;;2011;Cultura Cristã;;;9,78858E+12;2;;VCF-L265;;;;;;;;;;;;;;;;;;;;
E-100012;Guerra de palavras: o que há de errado com a nossa comunicação;Paul David Tripp;;;2011;Cultura Cristã;;;9,78858E+12;1;;VCF-T836;;;;;;;;;;;;;;;;;;;;
E-100013;O namoro e o noivado que Deus sempre quis;Alexandre Mendes e David Merkh;;2013;2021 (reimpr.);Hagnos;;;9,78856E+12;2;"casais; namoro; relacionamento; família; noivado; casamento; vida cristã";VCF-M538;;;;;;;;;;;;;;;;;;;;
E-100014;Adoção: sua extrema prioridade para famílias e igrejas cristãs;Russell D. Moore;;;2013;Monergismo;;;9,78856E+12;1;"adoção; família; ";VCF-M821;;;;;;;;;;;;;;;;;;;;
E-100015;Adoção: sua extrema prioridade para famílias e igrejas cristãs;Russell D. Moore;;;2013;Monergismo;;;9,78856E+12;2;"adoção; família; ";VCF-M821;;;;;;;;;;;;;;;;;;;;
